"COUNTERPART_AREA";"ACCOUNTING_ENTRY";"STO";"ACTIVITY";"UNIT_MEASURE";"PRICES";"VALUATION";"FREQ";"REF_AREA";"GEO";"GEO_OBJECT";"OBS_STATUS";"CONF_STATUS";"DECIMALS";"UNIT_MULT";"OBS_STATUS_FR";"TIME_PERIOD";"OBS_VALUE"
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2003;2584.7
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2004;2682.6
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"A";"F";"1";"6";"D";2011;12162.7
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"A";"F";"1";"6";"D";2012;13025.2
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"A";"F";"1";"6";"D";2015;15504
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"A";"F";"1";"6";"D";2013;14353.1
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2011;3293.3
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2012;3260.9
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2010;3363.3
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2014;3203.7
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2013;3260.3
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2007;12929.3
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2008;13617.4
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2005;11191.7
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2006;11739.2
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2011;1063
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2012;1122.8
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2009;110925.3
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2011;116177
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2010;111465.3
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2008;122610.1
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2012;112525.3
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2004;393
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2003;369
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2002;359.5
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2001;369.3
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2007;230.6
